utc,terrestrial,thunderstorm,cosmic
2023-05-23 07:31:00,87.55,4.0,5.05
2023-05-23 07:31:20,84.75,3.05,5.45
2023-05-23 07:31:40,80.9,3.9,5.4
2023-05-23 07:32:00,88.45,3.8,5.05
2023-05-23 07:32:20,81.55,3.5,5.5
2023-05-23 07:32:40,80.75,3.6,7.3
2023-05-23 07:33:00,88.05,4.0,6.45
2023-05-23 07:33:20,79.0,3.85,7.1
2023-05-23 07:33:40,80.75,4.35,5.25
2023-05-23 07:34:00,83.55,3.5,5.2
2023-05-23 07:34:20,86.05,4.35,6.25
2023-05-23 07:34:40,87.45,4.65,4.95
2023-05-23 07:35:00,84.2,3.8,6.5
2023-05-23 07:35:20,79.9,4.05,5.95
2023-05-23 07:35:40,82.85,3.75,6.15
2023-05-23 07:36:00,83.4,3.6,6.65
2023-05-23 07:36:20,85.35,3.3,4.9
2023-05-23 07:36:40,84.6,4.2,5.0
2023-05-23 07:37:00,82.95,3.85,6.4
2023-05-23 07:37:20,81.8,4.95,5.3
2023-05-23 07:37:40,84.25,4.05,6.05
2023-05-23 07:38:00,83.05,3.9,5.7
2023-05-23 07:38:20,86.1,3.75,6.85
2023-05-23 07:38:40,82.3,4.3,6.1
2023-05-23 07:39:00,86.05,4.75,5.85
2023-05-23 07:39:20,85.3,3.85,5.45
2023-05-23 07:39:40,82.6,3.65,5.8
2023-05-23 07:40:00,83.7,3.35,5.4
2023-05-23 07:40:20,81.5,3.45,5.45
2023-05-23 07:40:40,83.35,4.25,5.8
2023-05-23 07:41:00,83.0,4.05,6.05
2023-05-23 07:41:20,84.05,3.7,5.6
2023-05-23 07:41:40,84.3,3.7,6.6
2023-05-23 07:42:00,86.9,4.55,5.1
2023-05-23 07:42:20,81.95,3.65,6.05
2023-05-23 07:42:40,84.35,3.65,5.85
2023-05-23 07:43:00,80.2,3.9,7.45
2023-05-23 07:43:20,80.55,3.85,6.3
2023-05-23 07:43:40,82.75,4.0,6.5
2023-05-23 07:44:00,82.3,3.55,5.55
2023-05-23 07:44:20,79.6,4.2,6.2
2023-05-23 07:44:40,79.35,4.4,5.5
2023-05-23 07:45:00,83.25,3.75,5.45
2023-05-23 07:45:20,81.1,3.85,5.8
2023-05-23 07:45:40,80.35,3.75,6.0
2023-05-23 07:46:00,82.5,3.4,7.1
2023-05-23 07:46:20,83.7,3.95,4.75
2023-05-23 07:46:40,80.8,4.5,5.55
2023-05-23 07:47:00,80.2,4.2,6.25
2023-05-23 07:47:20,79.8,3.15,6.85
2023-05-23 07:47:40,78.8,3.35,6.05
2023-05-23 07:48:00,82.6,3.65,5.55
2023-05-23 07:48:20,81.15,2.8,5.75
2023-05-23 07:48:40,80.2,3.6,6.45
2023-05-23 07:49:00,81.65,4.45,5.9
2023-05-23 07:49:20,80.1,3.4,6.2
2023-05-23 07:49:40,81.05,3.3,6.45
2023-05-23 07:50:00,79.35,3.75,5.15
