utc,total,terrestrial,cosmic,thunderstorm
2021-08-05 00:03:16,116.0,111.0,1.0,4.0
2021-08-05 00:03:17,114.0,105.0,6.0,3.0
2021-08-05 00:03:18,98.0,85.0,8.0,5.0
2021-08-05 00:03:19,92.0,78.0,8.0,6.0
2021-08-05 00:03:20,104.0,84.0,9.0,11.0
2021-08-05 00:03:21,82.0,77.0,2.0,3.0
2021-08-05 00:03:22,112.0,102.0,6.0,4.0
2021-08-05 00:03:23,98.0,91.0,3.0,4.0
2021-08-05 00:03:24,112.0,98.0,6.0,8.0
2021-08-05 00:03:25,85.0,73.0,9.0,3.0
2021-08-05 00:03:26,125.0,110.0,9.0,6.0
2021-08-05 00:03:27,119.0,112.0,5.0,2.0
2021-08-05 00:03:28,100.0,87.0,10.0,3.0
2021-08-05 00:03:29,108.0,97.0,9.0,2.0
2021-08-05 00:03:30,108.0,95.0,11.0,2.0
2021-08-05 00:03:31,96.0,84.0,9.0,3.0
2021-08-05 00:03:32,117.0,107.0,5.0,5.0
2021-08-05 00:03:33,100.0,93.0,5.0,2.0
2021-08-05 00:03:34,95.0,89.0,5.0,1.0
2021-08-05 00:03:35,112.0,102.0,4.0,6.0
2021-08-05 00:03:36,97.0,88.0,5.0,4.0
2021-08-05 00:03:37,120.0,104.0,7.0,9.0
2021-08-05 00:03:38,100.0,88.0,9.0,3.0
2021-08-05 00:03:39,112.0,103.0,6.0,3.0
2021-08-05 00:03:40,101.0,91.0,3.0,7.0
2021-08-05 00:03:41,116.0,106.0,6.0,4.0
2021-08-05 00:03:42,123.0,113.0,7.0,3.0
2021-08-05 00:03:43,93.0,82.0,8.0,3.0
2021-08-05 00:03:44,95.0,87.0,6.0,2.0
2021-08-05 00:03:45,113.0,104.0,6.0,3.0
2021-08-05 00:03:46,101.0,91.0,6.0,4.0
2021-08-05 00:03:47,91.0,84.0,6.0,1.0
2021-08-05 00:03:48,101.0,91.0,5.0,5.0
2021-08-05 00:03:49,120.0,107.0,8.0,5.0
2021-08-05 00:03:50,104.0,89.0,12.0,3.0
2021-08-05 00:03:51,112.0,98.0,7.0,7.0
2021-08-05 00:03:52,110.0,104.0,3.0,3.0
2021-08-05 00:03:53,111.0,99.0,7.0,5.0
2021-08-05 00:03:54,95.0,87.0,6.0,2.0
2021-08-05 00:03:55,99.0,88.0,5.0,6.0
2021-08-05 00:03:56,108.0,96.0,8.0,4.0
2021-08-05 00:03:57,111.0,101.0,6.0,4.0
2021-08-05 00:03:58,108.0,100.0,7.0,1.0
2021-08-05 00:03:59,104.0,93.0,6.0,5.0
2021-08-05 00:04:00,121.0,113.0,5.0,3.0
2021-08-05 00:04:01,118.0,112.0,5.0,1.0
2021-08-05 00:04:02,121.0,109.0,8.0,4.0
2021-08-05 00:04:03,102.0,93.0,7.0,2.0
2021-08-05 00:04:04,100.0,92.0,3.0,5.0
2021-08-05 00:04:05,112.0,97.0,10.0,5.0
2021-08-05 00:04:06,114.0,100.0,7.0,7.0
2021-08-05 00:04:07,113.0,103.0,6.0,4.0
2021-08-05 00:04:08,121.0,101.0,14.0,6.0
2021-08-05 00:04:09,109.0,94.0,8.0,7.0
2021-08-05 00:04:10,99.0,90.0,4.0,5.0
2021-08-05 00:04:11,101.0,89.0,8.0,4.0
2021-08-05 00:04:12,117.0,111.0,3.0,3.0
2021-08-05 00:04:13,111.0,97.0,8.0,6.0
2021-08-05 00:04:14,105.0,96.0,5.0,4.0
2021-08-05 00:04:15,107.0,96.0,8.0,3.0
2021-08-05 00:04:16,87.0,79.0,5.0,3.0
2021-08-05 00:04:17,101.0,90.0,8.0,3.0
2021-08-05 00:04:18,116.0,102.0,11.0,3.0
2021-08-05 00:04:19,100.0,91.0,8.0,1.0
2021-08-05 00:04:20,121.0,112.0,5.0,4.0
2021-08-05 00:04:21,129.0,117.0,6.0,6.0
2021-08-05 00:04:22,92.0,87.0,2.0,3.0
2021-08-05 00:04:23,111.0,97.0,9.0,5.0
2021-08-05 00:04:24,107.0,95.0,9.0,3.0
2021-08-05 00:04:25,93.0,87.0,3.0,3.0
2021-08-05 00:04:26,119.0,109.0,7.0,3.0
2021-08-05 00:04:27,110.0,99.0,7.0,4.0
2021-08-05 00:04:28,103.0,92.0,6.0,5.0
2021-08-05 00:04:29,102.0,95.0,5.0,2.0
2021-08-05 00:04:30,102.0,94.0,5.0,3.0
2021-08-05 00:04:31,106.0,97.0,5.0,4.0
2021-08-05 00:04:32,112.0,99.0,11.0,2.0
2021-08-05 00:04:33,82.0,74.0,3.0,5.0
2021-08-05 00:04:34,104.0,91.0,7.0,6.0
2021-08-05 00:04:35,92.0,82.0,5.0,5.0
2021-08-05 00:04:36,110.0,98.0,10.0,2.0
2021-08-05 00:04:37,120.0,117.0,1.0,2.0
2021-08-05 00:04:38,112.0,97.0,7.0,8.0
2021-08-05 00:04:39,125.0,113.0,4.0,8.0
2021-08-05 00:04:40,119.0,102.0,12.0,5.0
2021-08-05 00:04:41,98.0,93.0,4.0,1.0
2021-08-05 00:04:42,95.0,89.0,4.0,2.0
2021-08-05 00:04:43,113.0,96.0,9.0,8.0
2021-08-05 00:04:44,120.0,109.0,9.0,2.0
2021-08-05 00:04:45,97.0,84.0,5.0,8.0
2021-08-05 00:04:46,98.0,86.0,6.0,6.0
2021-08-05 00:04:47,110.0,94.0,9.0,7.0
2021-08-05 00:04:48,113.0,104.0,8.0,1.0
2021-08-05 00:04:49,98.0,93.0,3.0,2.0
2021-08-05 00:04:50,101.0,91.0,7.0,3.0
2021-08-05 00:04:51,105.0,99.0,4.0,2.0
2021-08-05 00:04:52,99.0,90.0,5.0,4.0
2021-08-05 00:04:53,112.0,96.0,10.0,6.0
2021-08-05 00:04:54,109.0,96.0,10.0,3.0
2021-08-05 00:04:55,94.0,89.0,4.0,1.0
2021-08-05 00:04:56,120.0,113.0,4.0,3.0
2021-08-05 00:04:57,99.0,83.0,8.0,8.0
2021-08-05 00:04:58,134.0,118.0,11.0,5.0
2021-08-05 00:04:59,81.0,69.0,8.0,4.0
2021-08-05 00:05:00,111.0,98.0,7.0,6.0
2021-08-05 00:05:01,101.0,89.0,9.0,3.0
2021-08-05 00:05:02,121.0,112.0,6.0,3.0
2021-08-05 00:05:03,118.0,103.0,9.0,6.0
2021-08-05 00:05:04,99.0,90.0,5.0,4.0
2021-08-05 00:05:05,112.0,96.0,9.0,7.0
2021-08-05 00:05:06,101.0,90.0,7.0,4.0
2021-08-05 00:05:07,105.0,96.0,3.0,6.0
2021-08-05 00:05:08,99.0,86.0,7.0,6.0
2021-08-05 00:05:09,101.0,95.0,3.0,3.0
2021-08-05 00:05:10,105.0,94.0,6.0,5.0
2021-08-05 00:05:11,115.0,103.0,9.0,3.0
2021-08-05 00:05:12,94.0,87.0,5.0,2.0
2021-08-05 00:05:13,91.0,79.0,9.0,3.0
2021-08-05 00:05:14,121.0,108.0,6.0,7.0
2021-08-05 00:05:15,97.0,87.0,6.0,4.0
2021-08-05 00:05:16,113.0,104.0,5.0,4.0
2021-08-05 00:05:17,112.0,95.0,8.0,9.0
2021-08-05 00:05:18,96.0,91.0,2.0,3.0
2021-08-05 00:05:19,123.0,108.0,7.0,8.0
2021-08-05 00:05:20,106.0,95.0,4.0,7.0
2021-08-05 00:05:21,125.0,114.0,6.0,5.0
2021-08-05 00:05:22,99.0,90.0,3.0,6.0
2021-08-05 00:05:23,100.0,90.0,9.0,1.0
2021-08-05 00:05:24,107.0,100.0,5.0,2.0
2021-08-05 00:05:25,120.0,106.0,12.0,2.0
2021-08-05 00:05:26,102.0,92.0,6.0,4.0
2021-08-05 00:05:27,100.0,90.0,6.0,4.0
2021-08-05 00:05:28,113.0,101.0,9.0,3.0
2021-08-05 00:05:29,85.0,73.0,11.0,1.0
2021-08-05 00:05:30,116.0,100.0,9.0,7.0
2021-08-05 00:05:31,116.0,107.0,6.0,3.0
2021-08-05 00:05:32,117.0,106.0,8.0,3.0
2021-08-05 00:05:33,103.0,100.0,1.0,2.0
2021-08-05 00:05:34,110.0,104.0,3.0,3.0
2021-08-05 00:05:35,106.0,93.0,6.0,7.0
2021-08-05 00:05:36,115.0,102.0,10.0,3.0
2021-08-05 00:05:37,89.0,79.0,6.0,4.0
2021-08-05 00:05:38,91.0,75.0,7.0,9.0
2021-08-05 00:05:39,112.0,102.0,9.0,1.0
2021-08-05 00:05:40,110.0,100.0,7.0,3.0
